N° de Commande,Date de Commande,Date de Livraison,Id Client,Canal,Id Produit,Quantité
CDE - 000232,01/01/19,2019-01-05,32,Grossiste,9,7
CDE - 0001728,01/01/19,2019-01-07,31,Grossiste,4,5
CDE - 0001953,01/01/19,2019-01-09,31,Détaillant,11,11
CDE - 0004442,01/01/19,2019-01-07,50,Détaillant,11,7
CDE - 0004814,01/01/19,2019-01-05,12,Détaillant,13,8
CDE - 0004946,01/01/19,2019-01-07,18,Grossiste,5,5
CDE - 0001848,01/02/19,2019-01-20,25,Grossiste,1,10
CDE - 0002920,01/02/19,2019-01-15,20,Détaillant,5,5
CDE - 0004030,01/02/19,2019-01-06,24,Export,5,11
CDE - 0004742,01/02/19,2019-01-11,1,Grossiste,2,11
CDE - 0005646,01/02/19,2019-01-11,46,Détaillant,11,7
CDE - 0005811,01/02/19,2019-01-16,47,?,13,10
CDE - 000314,01/03/19,2019-01-09,21,Grossiste,1,6
CDE - 0001770,01/03/19,2019-01-20,33,Export,9,5
CDE - 0002468,01/03/19,2019-01-21,4,Grossiste,13,8
CDE - 0002973,01/03/19,2019-01-21,50,Grossiste,11,11
CDE - 0003880,01/03/19,2019-01-13,48,Détaillant,5,9
CDE - 0006875,01/03/19,2019-01-11,8,Export,7,9
CDE - 0008049,01/03/19,2019-01-14,11,Export,7,10
CDE - 000924,01/04/19,2019-01-18,50,Grossiste,2,7
CDE - 0001569,01/04/19,2019-01-22,24,Grossiste,11,12
CDE - 0003199,01/04/19,2019-01-12,35,Grossiste,11,7
CDE - 0005702,01/04/19,2019-01-10,9,Détaillant,13,6
CDE - 0005952,01/04/19,2019-01-20,28,Grossiste,1,10
CDE - 000980,01/05/19,2019-01-19,25,Grossiste,7,7
CDE - 0002986,01/05/19,2019-01-20,45,Export,13,-1
CDE - 0003237,01/05/19,2019-01-12,27,Grossiste,7,5
CDE - 0003733,01/05/19,2019-01-23,22,Détaillant,8,7
CDE - 0004379,01/05/19,2019-01-19,26,Grossiste,6,7
CDE - 0005970,01/05/19,2019-01-15,17,Grossiste,5,10
CDE - 0007063,01/05/19,2019-01-18,27,Grossiste,11,5
CDE - 0002062,01/06/19,2019-01-18,29,Détaillant,9,7
CDE - 0002959,01/06/19,2019-01-13,8,Export,5,9
CDE - 0003779,01/06/19,2019-01-21,32,Grossiste,7,8
CDE - 0004046,01/06/19,2019-01-14,5,Grossiste,2,7
CDE - 0004836,01/06/19,2019-01-14,18,Détaillant,2,8
CDE - 0005229,01/06/19,2019-01-11,4,Détaillant,1,9
CDE - 0005336,01/06/19,2019-01-21,33,Grossiste,13,8
CDE - 0007048,01/06/19,2019-01-24,4,Grossiste,9,9
CDE - 000327,01/07/19,2019-01-20,48,Détaillant,1,7
CDE - 000644,01/07/19,2019-01-10,13,Grossiste,1,9
CDE - 0002549,01/07/19,2019-01-24,48,Grossiste,13,10
CDE - 0002822,01/07/19,2019-01-11,15,Grossiste,2,9
CDE - 0003777,01/07/19,2019-01-13,5,Export,7,9
CDE - 0003995,01/07/19,2019-01-14,44,Grossiste,13,5
CDE - 0005961,01/07/19,2019-01-16,14,Grossiste,7,8
CDE - 0006071,01/07/19,2019-01-15,3,Grossiste,1,8
CDE - 0007276,01/07/19,2019-01-12,9,?,2,7
CDE - 0001610,01/08/19,2019-01-19,3,Grossiste,8,10
CDE - 0002154,01/08/19,2019-01-21,36,Détaillant,7,6
CDE - 0003253,01/08/19,2019-01-21,10,Export,9,9
CDE - 0003704,01/08/19,2019-01-19,9,Détaillant,1,11
CDE - 0004193,01/08/19,2019-01-17,31,Export,3,6
CDE - 0004760,01/08/19,2019-01-21,44,Détaillant,8,9
CDE - 0005886,01/08/19,2019-01-20,16,Grossiste,7,5
CDE - 000834,01/09/19,2019-01-20,43,Grossiste,11,6
CDE - 0002192,01/09/19,2019-01-26,44,Grossiste,10,10
CDE - 0004455,01/09/19,2019-01-18,40,Grossiste,2,5
CDE - 0004476,01/09/19,2019-01-25,46,Grossiste,11,9
CDE - 0005731,01/09/19,2019-01-12,1,Grossiste,2,7
CDE - 0008071,01/09/19,2019-01-12,13,Détaillant,2,8
CDE - 000771,01/10/19,2019-01-16,3,Détaillant,2,5
